State,Year,Quater,Entity_Name,Entity_Type,User_count
arunachal-pradesh,2018,2,tawang,State,2266
arunachal-pradesh,2018,2,changlang,State,2014
arunachal-pradesh,2018,2,lohit,State,1898
arunachal-pradesh,2018,2,namsai,State,1276
arunachal-pradesh,2018,2,west siang,State,1224
arunachal-pradesh,2018,2,lower dibang valley,State,893
arunachal-pradesh,2018,2,upper subansiri,State,883
arunachal-pradesh,2018,3,papum pare,State,16009
arunachal-pradesh,2018,3,west kameng,State,4765
arunachal-pradesh,2018,3,east siang,State,3590
arunachal-pradesh,2018,3,tawang,State,3112
arunachal-pradesh,2018,3,changlang,State,2889
arunachal-pradesh,2018,3,lohit,State,2612
arunachal-pradesh,2018,3,namsai,State,1862
arunachal-pradesh,2018,3,west siang,State,1652
arunachal-pradesh,2018,3,lower dibang valley,State,1286
arunachal-pradesh,2018,3,tirap,State,1226
arunachal-pradesh,2018,4,papum pare,State,21342
arunachal-pradesh,2018,4,west kameng,State,6492
arunachal-pradesh,2018,4,east siang,State,4813
arunachal-pradesh,2018,4,tawang,State,4085
arunachal-pradesh,2018,4,changlang,State,4036
arunachal-pradesh,2018,4,lohit,State,3588
arunachal-pradesh,2018,4,namsai,State,2495
arunachal-pradesh,2018,4,west siang,State,2117
arunachal-pradesh,2018,4,lower dibang valley,State,1827
arunachal-pradesh,2018,4,tirap,State,1684
arunachal-pradesh,2019,1,papum pare,State,26298
arunachal-pradesh,2019,1,west kameng,State,8115
arunachal-pradesh,2019,1,east siang,State,5899
arunachal-pradesh,2019,1,changlang,State,5210
arunachal-pradesh,2019,1,tawang,State,5023
arunachal-pradesh,2019,1,lohit,State,4416
arunachal-pradesh,2019,1,namsai,State,3153
arunachal-pradesh,2019,1,west siang,State,2656
arunachal-pradesh,2019,1,lower dibang valley,State,2314
arunachal-pradesh,2019,1,tirap,State,2082
arunachal-pradesh,2019,2,papum pare,State,32800
arunachal-pradesh,2019,2,west kameng,State,9782
arunachal-pradesh,2019,2,east siang,State,7319
arunachal-pradesh,2019,2,changlang,State,6884
arunachal-pradesh,2019,2,tawang,State,5908
arunachal-pradesh,2019,2,lohit,State,5485
arunachal-pradesh,2019,2,namsai,State,3914
arunachal-pradesh,2019,2,west siang,State,3393
arunachal-pradesh,2019,2,lower dibang valley,State,2842
arunachal-pradesh,2019,2,tirap,State,2697
arunachal-pradesh,2019,3,papum pare,State,38845
arunachal-pradesh,2019,3,west kameng,State,11186
arunachal-pradesh,2019,3,east siang,State,8571
arunachal-pradesh,2019,3,changlang,State,8145
arunachal-pradesh,2019,3,tawang,State,6553
arunachal-pradesh,2019,3,lohit,State,6421
arunachal-pradesh,2019,3,namsai,State,4563
arunachal-pradesh,2019,3,west siang,State,4101
arunachal-pradesh,2019,3,lower dibang valley,State,3398
arunachal-pradesh,2019,3,tirap,State,3099
arunachal-pradesh,2019,4,papum pare,State,44746
arunachal-pradesh,2019,4,west kameng,State,12562
arunachal-pradesh,2019,4,east siang,State,9859
arunachal-pradesh,2019,4,changlang,State,9662
arunachal-pradesh,2019,4,lohit,State,7386
